Meteorite Hills,1060,15556,Diogenite,9.84,Found,2000,-79.68333,155.75,"(-79.68333, 155.75)"
Meteorite Hills,1061,15557,H6,23.1,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1062,15558,H6,40.7,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1063,15559,L6,12.7,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1064,15560,H6,14.2,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1065,15561,H6,10.1,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1066,15562,H6,19.6,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1067,15563,H5,33.4,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1068,15564,L5,7.2,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1069,15565,H6,10.6,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1070,15566,LL5,6.8,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1071,15567,L5,7.5,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1072,15568,LL6,34.2,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1073,15569,H6,32,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1074,15570,H6,19.7,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1075,15571,H6,7.1,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1076,15572,H6,8.6,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1077,15573,H6,40.6,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1078,15574,L6,22.6,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1079,15575,LL6,18.6,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1080,15576,L6,9.3,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1081,15577,H5,8.3,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
